"src_id","dst_id","weight","avg_time_gap"
"382","0","1","48.0"
"737","0","1","12.0"
"754","0","1","14.0"
"4107","0","1","17.0"
"5124","0","1","10.0"
"5695","0","1","38.0"
"5915","0","1","48.0"
"6934","0","1","10.0"
"9775","0","1","10.0"
"17014","0","1","52.0"
"18550","0","1","38.0"
"19047","0","1","60.0"
"25324","0","1","49.0"
"25325","0","1","49.0"
"25326","0","1","49.0"
"25327","0","1","49.0"
"25328","0","1","49.0"
"29013","0","1","50.0"
"33735","0","1","60.0"
"34327","0","1","39.0"
"36046","0","1","40.0"
"36617","0","1","34.0"
"38218","0","1","65.0"
"38755","0","1","13.0"
"40699","0","1","39.0"
"44476","0","1","9.0"
"46368","0","1","21.0"
"47200","0","1","39.0"
"47291","0","1","34.0"
"47316","0","1","47.0"
"49220","0","1","9.0"
"50328","0","2","54.5"
"50525","0","1","29.0"
"51040","0","1","34.0"
"51059","0","1","56.0"
"52881","0","1","51.0"
"53860","0","1","25.0"
"60170","0","1","40.0"
"61190","0","1","13.0"
"62222","0","1","10.0"
"64590","0","1","45.0"
"67951","0","1","52.0"
"68219","0","1","55.0"
"68711","0","1","41.0"
"78924","0","1","74.0"
"81543","0","1","47.0"
"84253","0","1","9.0"
"86713","0","1","57.0"
"86823","0","1","50.0"
"493","1","1","13.0"
"6185","1","1","14.0"
"7111","1","1","1.0"
"16336","1","1","16.0"
"20300","1","1","16.0"
"22394","1","1","2.0"
"23055","1","1","12.0"
"24964","1","1","7.0"
"37593","1","1","15.0"
"38751","1","1","4.0"
"38753","1","1","4.0"
"43812","1","1","18.0"
"48444","1","1","1.0"
"66210","1","1","4.0"
"77423","1","1","7.0"
"82796","1","1","2.0"
"2","2","14","24.0"
"3","2","1","10.0"
"26","2","1","19.0"
"28","2","1","26.0"
"29","2","1","0.0"
"56","2","1","39.0"
"57","2","1","23.0"
"58","2","1","2.0"
"59","2","1","36.0"
"105","2","1","2.0"
"119","2","1","12.0"
"132","2","1","2.0"
"165","2","1","32.0"
"176","2","1","15.0"
"205","2","1","5.0"
"269","2","1","17.0"
"327","2","1","9.0"
"385","2","1","5.0"
"395","2","2","0.0"
"399","2","1","15.0"
"449","2","4","2.75"
"463","2","2","30.0"
"530","2","2","1.0"
"531","2","1","3.0"
"555","2","1","30.0"
"558","2","1","23.0"
"562","2","1","24.0"
"596","2","1","34.0"
"646","2","2","21.0"
"650","2","1","32.0"
"656","2","1","4.0"
"684","2","1","41.0"
"744","2","2","19.5"
"756","2","1","4.0"
"823","2","2","5.5"
"828","2","1","26.0"
"854","2","1","9.0"
"867","2","1","7.0"
"935","2","10","29.4"
"937","2","10","29.4"
"941","2","1","25.0"
"1085","2","1","42.0"
"1119","2","1","1.0"
"1143","2","1","10.0"
"1151","2","1","9.0"
"1154","2","1","6.0"
"1159","2","1","3.0"
"1222","2","1","33.0"
"1251","2","1","31.0"
"1282","2","1","26.0"
"1285","2","1","33.0"
"1315","2","2","41.0"
"1339","2","1","30.0"
"1415","2","1","0.0"
"1429","2","1","32.0"
"1432","2","1","32.0"
"1441","2","1","32.0"
"1477","2","1","7.0"
"1606","2","1","18.0"
"1657","2","1","23.0"
"1662","2","1","9.0"
"1742","2","1","0.0"
"1748","2","1","15.0"
"1843","2","1","1.0"
"1874","2","1","32.0"
"2051","2","2","19.0"
"2052","2","1","26.0"
"2084","2","1","33.0"
"2088","2","2","3.0"
"2100","2","1","40.0"
"2103","2","1","40.0"
"2135","2","1","1.0"
"2152","2","1","33.0"
"2246","2","1","33.0"
"2392","2","1","1.0"
"2396","2","1","6.0"
"2444","2","1","12.0"
"2513","2","1","33.0"
"2638","2","1","26.0"
"3243","2","2","25.0"
"3570","2","1","29.0"
"3692","2","1","36.0"
"3693","2","1","36.0"
"4219","2","1","5.0"
"4309","2","1","25.0"
"4315","2","1","9.0"
"4331","2","1","27.0"
"4335","2","2","6.0"
"4336","2","1","30.0"
"4339","2","1","25.0"
"4345","2","1","11.0"
"4346","2","1","11.0"
"4358","2","1","18.0"
"4359","2","3","20.0"
"4851","2","1","23.0"
"4864","2","1","16.0"
"4892","2","1","18.0"
"4998","2","1","25.0"
"5074","2","1","14.0"
"5083","2","1","25.0"
"5407","2","1","36.0"
"5444","2","1","0.0"
"5488","2","1","24.0"
"5803","2","2","5.0"
"5859","2","1","38.0"
"5860","2","1","41.0"
"5881","2","1","45.0"
"6151","2","10","29.599999999999998"
"6176","2","1","46.0"
"6218","2","1","22.0"
"6227","2","1","27.0"
"6238","2","2","22.5"
"6263","2","1","23.0"
"6277","2","1","38.0"
"6330","2","2","18.0"
"6389","2","1","24.0"
"6616","2","1","30.0"
"6623","2","1","34.0"
"6628","2","1","34.0"
"6631","2","2","23.0"
"6784","2","10","29.4"
"6960","2","1","35.0"
"7258","2","1","30.0"
"7482","2","1","26.0"
"7511","2","1","16.0"
"7581","2","1","23.0"
"7597","2","1","25.0"
"7650","2","1","16.0"
"7897","2","1","17.0"
"8111","2","1","32.0"
"8127","2","3","35.666666666666664"
"8247","2","1","41.0"
"8300","2","1","44.0"
"8310","2","1","29.0"
"8339","2","1","20.0"
"8359","2","1","23.0"
"8400","2","1","4.0"
